# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  159       6.138907827467e-10       1.360361938826e-13      -5.990329284560e-12       0.000000000000e+00       2.994027166026e-12       5.595441520487e-13      -3.451501177744e-15 
  160       6.179126191055e-10       1.348980497797e-13      -5.964114423034e-12       0.000000000000e+00       2.940162160536e-12       5.516551410067e-13      -3.387953055483e-15 
  161       6.218965043661e-10       1.337187762388e-13      -5.934407785097e-12       0.000000000000e+00       2.887393503010e-12       5.438723546650e-13      -3.324150423782e-15 
  162       6.258413161166e-10       1.325004958137e-13      -5.901184669957e-12       0.000000000000e+00       2.835709160229e-12       5.361953238781e-13      -3.260124608827e-15 
  163       6.297460237345e-10       1.312453916403e-13      -5.864422153600e-12       0.000000000000e+00       2.785113168915e-12       5.286265209174e-13      -3.195925404974e-15 
  164       6.336095802360e-10       1.299557567542e-13      -5.824099258060e-12       0.000000000000e+00       2.735606575384e-12       5.211681221508e-13      -3.131603316339e-15 
  165       6.374309219863e-10       1.286339956159e-13      -5.780196990703e-12       0.000000000000e+00       2.687187368622e-12       5.138220005700e-13      -3.067209552713e-15 
  166       6.412089684091e-10       1.272826256352e-13      -5.732698383518e-12       0.000000000000e+00       2.639850413361e-12       5.065897183171e-13      -3.002796025485e-15 
  167       6.449426216971e-10       1.259042786968e-13      -5.681588532407e-12       0.000000000000e+00       2.593587383157e-12       4.994725192120e-13      -2.938415343551e-15 
  168       6.486307665213e-10       1.245017026846e-13      -5.626854636474e-12       0.000000000000e+00       2.548386693466e-12       4.924713212794e-13      -2.874120809242e-15 
  169       6.522722697413e-10       1.230777630069e-13      -5.568486037314e-12       0.000000000000e+00       2.504233434722e-12       4.855867092755e-13      -2.809966414233e-15 
  170       6.558659801150e-10       1.216354441212e-13      -5.506474258302e-12       0.000000000000e+00       2.461109305411e-12       4.788189272155e-13      -2.746006835467e-15 
  171       6.594107280088e-10       1.201778510590e-13      -5.440813043884e-12       0.000000000000e+00       2.418992545153e-12       4.721678709003e-13      -2.682297431071e-15 
  172       6.629053251072e-10       1.187082109508e-13      -5.371498398867e-12       0.000000000000e+00       2.377857867772e-12       4.656330804438e-13      -2.618894236272e-15 
  173       6.663485641229e-10       1.172298745512e-13      -5.298528627703e-12       0.000000000000e+00       2.337676394379e-12       4.592137327997e-13      -2.555853959316e-15 
  174       6.697392185067e-10       1.157463177632e-13      -5.221904373786e-12       0.000000000000e+00       2.298415586444e-12       4.529086342886e-13      -2.493233977388e-15 
